Артикул,Наименование,Короткое описание,Категория,Цена,Характеристики,Описание,Картинки,Мета описание,Мета ключевые слова 
195177965843,Бензопила MS 261 C-M VW,"Универсальная бензопила мощностью 2,9 кВт с системой M-Tronic и зимней комплектацией",Пилы для лесного хозяйства,59990,"[('Рабочий объем, см?', '50,2'), ('Мощность кВт/л.с.', '3/4,1'), ('Вес, кг', '5,1'), ('Удельный вес, кг/кВт', '1,7'), ('Уровень звукового давления, дБ(A)', '105'), ('Уровень звуковой мощности, дБ(A)', '116'), ('Уровень вибрации слева/справа m/s?', '3,5/3,5'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.000'), ('Объём масляного бака, см?', '270')]","<p> Очень лёгкая, удобная и высокопроизводительная профессиональная бензопила с системой M-Tronic и обогревом карбюратора и рукоятки. Дозирование топлива регулируется электроникой и автоматически адаптируется к изменениям внешних условий. Двигатель бензопилы всегда поддерживает оптимальную мощность. С фильтром HD2, масляным насосом с регулированием подачи и практичными элементами оснащения, к которым относятся: глушитель из нержавеющей стали, «нетеряемые» гайки на крышке цепной звёздочки и цельный кожух с тремя быстродействующими фиксаторами. Снижение расхода топлива на 20 % и выброса выхлопных газов на 50 % по сравнению с двухтактными двигателями STIHL аналогичной мощности без технологии 2-MIX. Универсальна при окультуривании и прореживании молодых рощиц и древесных насаждении средней плотности, при строительстве и заготовке дров. </p>",['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/05da2145b02c4391850d56d7c058e4cc.jpg'],"Очень лёгкая, удобная и высокопроизводительная профессиональная бензопила с технологией 2-MIX и системой M-Tronic. Серийное исполнение с обогревом карбюратора и рукоятки. Дозирование топлива регулируется электроникой и автоматически адаптируется к изменениям внешних условий. Для универсального использования.","MS261 C-M VW,  бензопила,  цепная пила,  цепная пила,  пила по дереву,  профессиональная бензопила,  бензопилы,  цепные пилы,  профессиональные пилы"
188351464514,Бензопила MS 361,"Исключительно динамичная бензопила мощностью 3,4 кВт",Пилы для лесного хозяйства,49990,"[('Рабочий объем, см?', '59'), ('Мощность кВт/л.с.', '3,4/4,6'), ('Вес, кг', '5,6'), ('Удельный вес, кг/кВт', '1,6'), ('Уровень звукового давления, дБ(A)', '103'), ('Уровень звуковой мощности, дБ(A)', '115'), ('Уровень вибрации слева/справа m/s?', '3,6/3,6'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.000'), ('Объём масляного бака, см?', '325')]","<p> Динамичная бензопила с идеальной удельной массой. Динамическое ускорение. Сверхнизкий уровень вибрации. Высокий крутящий момент. Очень хорошо подходит для лесозаготовительных работ, для прореживания небольших строевых лесов и насаждений средней плотности. Очень прочная бензопила, отвечает самым высоким требованиям. </p>",['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/8d3a9192ff984694badbcaad34afc52d.jpg'],Динамичная бензопила с идеальной удельной массой. Динамическое ускорение. Сверхнизкий уровень вибрации.,"MS361C, бензопила, цепная пила, пила по дереву, профессиональная пила, бензопилы, цепные пилы, профессиональные пилы, MS361CQ"
213969314470,Бензопила MS 362 C-M,"Инновационная профессиональная пила мощностью 3,5 кВт с системой STIHL M-Tronic (M)",Пилы для лесного хозяйства,59990,"[('Рабочий объем, см?', '59'), ('Мощность кВт/л.с.', '3,5/4,8'), ('Вес, кг', '5,6'), ('Удельный вес, кг/кВт', '1,6'), ('Уровень звукового давления, дБ(A)', '106'), ('Уровень звуковой мощности, дБ(A)', '117'), ('Уровень вибрации слева/справа m/s?', '3,5/3,5'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.000'), ('Объём масляного бака, см?', '325')]","<p> Современная пила мощностью 3,5 кВт с двигателем 2-MIX и M-Tronic. Дозирование топлива регулируется электроникой и автоматически адаптируется к изменениям внешних условий. Двигатель бензопилы всегда поддерживает оптимальную мощность. С системой фильтрования HD2. Уменьшение на 20 % расхода топлива и на 50 % выхлопных газов, по сравнению с обычными двухтактными двигателями без технологии 2-MIX. Эффективна для любых работ с древесиной средней толщины. </p>",['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/c6201a4ec6ae4939afe4c666c17d2fb8.jpg'],"Современная пила мощностью 3,5 кВт с двигателем 2-MIX и M-Tronic. Эффективна для любых работ с древесиной средней толщины.","MS362, MS362 C-M,  MS 362 CM, бензопила,  бензопилы,  мотопила,  мотопилы,  цепная пила,  цепные пилы,  пила для распиловки дров,  профи-пила,  профессиональная пила"
166756775920,Бензопила MS 362 C-M VW,"Инновационная профессиональная пила мощностью 3,5 кВт с технологией M-Tronic (M) в зимней комплектации (VW)",Пилы для лесного хозяйства,70990,"[('Рабочий объем, см?', '59'), ('Мощность кВт/л.с.', '3,5/4,8'), ('Вес, кг', '5,8'), ('Удельный вес, кг/кВт', '1,7'), ('Уровень звукового давления, дБ(A)', '106'), ('Уровень звуковой мощности, дБ(A)', '117'), ('Уровень вибрации слева/справа m/s?', '3,5/3,5'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.000'), ('Объём масляного бака, см?', '325')]","<p> Современная пила мощностью 3,5 кВт с двигателем 2-MIX и M-Tronic. С обогревом рукоятки и карбюратора (VW). Дозирование топлива регулируется электроникой и автоматически адаптируется к изменениям внешних условий. С системой фильтрования HD2. Уменьшение на 20 % расхода топлива и на 50 % выхлопных газов, по сравнению с обычными двухтактными двигателями без технологии 2-MIX. Эффективна для любых работ с древесиной средней толщины. Очень надёжная бензопила с комфортной зимней комплектацией. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/0fbbfcad04e04fcd9876fc5df4a842e8.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/3956bf73651f4735a1dc96b7c33b6245.jpg']","Современная пила мощностью 3,5 кВт с двигателем 2-MIX и M-Tronic. С обогревом рукоятки и карбюратора (VW). Очень надёжная бензопила с комфортной зимней комплектацией.","MS 362 C-M VW, MS362, MS362 C-MQ,  MS 362 CMQ,  бензопила,  бензопилы,  мотопила,  мотопилы,  цепная пила,  цепные пилы,  пила для распиловки дров,  профи-пила,  профессиональная пила"
333438116085,Бензопила MS 462,"Новая, самая лёгкая высокопроизводительная пила в классе по рабочему объёму 72,2 см?",Пилы для лесного хозяйства,63990,"[('Рабочий объем, см?', '72,2'), ('Мощность кВт/л.с.', '4,4/6'), ('Вес, кг', '6'), ('Удельный вес, кг/кВт', '1,4'), ('Уровень звукового давления, дБ(A)', '108'), ('Уровень звуковой мощности, дБ(A)', '119'), ('Уровень вибрации слева/справа m/s?', '4,8/3,6'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.000'), ('Объём масляного бака, см?', '340')]","<p> Суперманевренная с превосходным ускорением. Для валки леса и обрезки сучьев в насаждениях средней и высокой плотности. Фильтр HD2 для отличной фильтрации, ""нетеряемые"" гайки на крышке цепной звёздочки упрощают замену цепи, безынструментальные крышки баков для простой и быстрой заправки, экономичный двигатель 2-MIX. 2 воздушных фильтра в комплекте. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/89ca27ff678d470f9cde4a6414cf2ec3.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/49a6eccff5b1447bbf63f6c82ed49c47.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/fe3ebee8cfc0449f89a228ea984d1987.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/46b5c91364da47e2b373dae4ca4ff912.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/3e6e0a5f5ab844f2b065ce794887e2fc.jpg']","Суперманевренная с превосходным ускорением. Для валки леса и обрезки сучьев в насаждениях средней и высокой плотности. Фильтр HD2 для отличной фильтрации, ""нетеряемые"" гайки на крышке цепной звёздочки упрощают замену цепи, безынструментальные крышки баков для простой и быстрой заправки, экономичный двигатель 2-MIX.","MS 462,  MS 461,  MS 044,  044,  MS440,  MS441CM,  MS441C-M,  MS 441-CM,  Motorsage,  Motorsaege,  Kettensage,  Kettensaege,  Holzsage,  Profisage,  Motorsagen,  Kettensagen,  Profisagen, M-Tronic, Mtronic"
904556076006,Бензопила MS 500i,ДЛЯ ПРОФЕССИОНАЛОВ,Пилы для лесного хозяйства,110990,"[('Рабочий объем, см?', '79,2'), ('Мощность кВт/л.с.', '5/6,8'), ('Вес, кг', '6,2'), ('Удельный вес, кг/кВт', '1,2'), ('Уровень звукового давления, дБ(A)', '106'), ('Уровень звуковой мощности, дБ(A)', '119'), ('Уровень вибрации слева/справа m/s?', '4,2/4'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.000'), ('Объём масляного бака, см?', '325')]","<p> STIHL MS 500i - первая в мире серийная пила с инжекторной системой подачи топлива STIHL (i). Агрегат показал себя лучшим среди серийных профессиональных бензопил по соотношению веса к мощности - 1,24 кг на киловатт. Благодаря электронной системе управления впрыском топлива STIHL (i) агрегат обладает действительно высоким крутящим моментом, а ускорение пильной цепи от 0 до 100 км/ч происходит всего за 0,25 секунды. Электронными системами STIHL MS 500i управляет высокотехнологичный процессор, ежесекундно контролирующий большое количество параметров от температуры окружающей среды до оборотов двигателя, таким образом, запуск MS 500i максимально упрощен. Агрегат гарантирует оптимальную мощность двигателя сразу после старта в любых погодных и климатических условиях. Агрегат подходит для заготовки крупномерной древесины благодаря легкой конструкции и самым современным технологиям.
<br/>
<br/>
•	Автоматическая адаптация к любым условиям, облегченный запуск. 
<br/>
•	Отсутствие необходимости в ручных настройках, карбюратор заменен современной интеллектуальной системой подачи топлива.
<br/>
•	Максимально облегченная и сбалансированная конструкция агрегата, используются легкие сплавы.
<br/>
•	Для профессионального использования в самых суровых условиях и решения самых сложных задач.
<br/>
•	Мощный экономичный двигатель 2-MIX снижает объем выброса вредных выхлопных газов до 70 %.
<br/>
•	Направляющие линии на крышке стартера для контроля направления валки и при продольном пилении.
<br/>
•	Высокоэффективный и экономичный масляный насос.
<br/>
•	Облегченный маховик для снижения центробежных нагрузок
<br/>
</p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/94c26396dd08466f95e66ad21c098ba0.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/3b8e3359b814424d901923d021077ff2.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/5451e738a93c4b4c817fbe8b4bfebdb1.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/0b343bdebe0640aba697c1d37b1d1b8a.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/04000dc7035447c38e948843f6c184ca.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/4165576b830d457490bafe4da3a5d4ca.jpg']","STIHL MS 500i - первая в мире серийная пила с инжекторной системой подачи топлива STIHL (i). Агрегат показал себя лучшим среди серийных профессиональных бензопил по соотношению веса к мощности - 1,24 кг на киловатт. Благодаря электронной системе управления впрыском топлива STIHL (i) агрегат обладает действительно высоким крутящим моментом, а ускорение пильной цепи от 0 до 100 км/ч происходит всего за 0,25 секунды. Электронными системами STIHL MS 500i управляет высокотехнологичный процессор, ежесекундно контролирующий большое количество параметров от температуры окружающей среды до оборотов двигателя, таким образом, запуск MS 500i максимально упрощен. Агрегат гарантирует оптимальную мощность двигателя сразу после старта в любых погодных и климатических условиях. Агрегат подходит для заготовки крупномерной древесины благодаря легкой конструкции и самым современным технологиям.

","MS 500 i,  Motorsage,  Kraftstoffeinspritzung"
635859694642,Бензопила MS 661,"Сверхмощная профессиональная пила мощностью 5,4 кВт",Пилы для лесного хозяйства,74990,"[('Рабочий объем, см?', '91,1'), ('Мощность кВт/л.с.', '5,4/7,3'), ('Вес, кг', '7,4'), ('Удельный вес, кг/кВт', '1,4'), ('Уровень звукового давления, дБ(A)', '105'), ('Уровень звуковой мощности, дБ(A)', '118'), ('Уровень вибрации слева/справа m/s?', '6,9/5,6'), ('Частота вращения при макс. крутящем моменте, об/мин', '9.500'), ('Объём масляного бака, см?', '400')]","<p> Чрезвычайно мощная высокопроизводительная пила с самой современной технологией 2-MIX. Рассчитана на экстремальную нагрузку. Оптимальный удельный вес. Низкий уровень вибрации. Воздушный фильтр HD2 с радиальным уплотнением. Наша лучшая модель, если речь идёт об эффективной заготовке крупномерной древесины. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/c18175efae4847ecb2cb26730401e4a8.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/2750d2e0657a44daa08b6374ffd57b4b.jpg']","Чрезвычайно мощная высокопроизводительная пила с самой современной технологией 2-MIX. Оптимальный удельный вес. Наша лучшая модель, если речь идёт об эффективной заготовке крупномерной древесины.","MS661, бензопила,  мотопила,  бензопилы,  мотопилы,  пила,  пилы,  цепная пила,  цепные пилы,  пила для распиловки двор,  профи-пила,  профессиональная пилы"
770023878114,Бензопила MS 661 C-M,"Сверхмощная профессиональная пила мощностью 5,4 кВт с системой STIHL M-Tronic",Пилы для лесного хозяйства,79990,"[('Рабочий объем, см?', '91,1'), ('Мощность кВт/л.с.', '5,4/7,3'), ('Вес, кг', '7,4'), ('Удельный вес, кг/кВт', '1,4'), ('Уровень звукового давления, дБ(A)', '105'), ('Уровень звуковой мощности, дБ(A)', '118'), ('Уровень вибрации слева/справа m/s?', '6,9/5,6'), ('Частота вращения при макс. крутящем моменте, об/мин', '9.500'), ('Объём масляного бака, см?', '400')]","<p> Чрезвычайно мощная высокопроизводительная пила с современной технологией 2-MIX и системой STIHL M-Tronic. Дозирование топлива регулируется электроникой и автоматически адаптируется к изменениям внешних условий. Двигатель бензопилы всегда поддерживает оптимальную мощность. Рассчитана на экстремальную нагрузку. Оптимальный удельный вес. Низкий уровень вибрации. Воздушный фильтр HD2 с радиальным уплотнением. Наша лучшая модель, если речь идёт об эффективной заготовке крупномерной древесины. </p>",['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/e6dd47508e844b7485cc70827afcb1c3.jpg'],"Чрезвычайно мощная высокопроизводительная пила с современной технологией 2-MIX и системой STIHL M-Tronic. Оптимальный удельный вес. Наша лучшая модель, если речь идёт об эффективной заготовке крупномерной древесины.","MS661,  мотопила,  мотопилы,  цепная пила,  цепные пилы,  бензопила,  бензиновая пила,  бензиновые пилы,  профи-пила,  профессиональная пила,  пила для распиловки дров"
131674789878,Бензопила MS 880,"Модель высшего класса: впечатляющая высокопроизводительная пила мощностью 6,4 кВт",Пилы для лесного хозяйства,109990,"[('Рабочий объем, см?', '121,6'), ('Мощность кВт/л.с.', '6,4/8,7'), ('Вес, кг', '10'), ('Удельный вес, кг/кВт', '1,5'), ('Шаг пильной цепи', '.404""'), ('Уровень звукового давления, дБ(A)', '103'), ('Уровень звуковой мощности, дБ(A)', '116'), ('Уровень вибрации слева/справа m/s?', '8,9/8,9'), ('Частота вращения при макс. крутящем моменте, об/мин', '8.500'), ('Объём масляного бака, см?', '700')]",<p> Модель высшего класса: самая мощная бензопила STIHL для высоких нагрузок. Благоприятная удельная масса на единицу мощности. Оптимальная техника для регулярной заготовки крупномерной древесины. </p>,"['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/6579754f1e934f3b82d0853447393d99.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/df946d5570c54a72a819d1b87a5612d8.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/c63cde12f7324232a6134aaa1d24582a.jpg']",Модель высшего класса: самая мощная бензопила STIHL для высоких нагрузок.,"FS200, мотокоса, кусторез, коса, мотокосы, косы, профессиональные косы, профессиональная коса"
291400059008,Бензопила MS 881,ДЛЯ ПРОФЕССИОНАЛОВ,Пилы для лесного хозяйства,143990,"[('Рабочий объем, см?', '121,6'), ('Мощность, кВт', '6,4'), ('Вес, кг', '9,9'), ('Удельный вес, кг/кВт', '1,5'), ('Уровень звукового давления, дБ(A)', '106'), ('Уровень звуковой мощности, дБ(A)', '118'), ('Уровень вибрации слева/справа m/s?', '8,9/8,9'), ('Шаг пильной цепи', '.404""'), ('Частота вращения при макс. крутящем моменте, об/мин', '8.500'), ('Объём масляного бака, см?', '700')]","<p> Бензопила STIHL MS 881* является самой мощной в мире серийно производимой пилой с рабочим объёмом двигателя 121,6 см3 и мощностью 6,4 кВт. Это единственная пила на рынке в своем классе мощности, отвечающая строгим требованиям стандарта выбросов выхлопных газов Euro-5. Это достигается за счет двигателя STIHL 2-MIX. Расход топлива ниже до 20%, а уровень выброса вредных выхлопных газов – до 70 % по сравнению с классическим двухтактным двигателем STIHL той же мощности, но без технологии STIHL 2-MIX. Новая пила пришла на смену MS 880, при этом удельный вес у нее такой же, как у предшественницы - 1,54 кг/кВт.
MS 881 удобна с точки зрения сервисного обслуживания и ремонта. С помощью диагностического разъема можно считывать все соответствующие данные, а эффективный фильтр HD2 увеличивает срок службы агрегата.
<br/>
<br/>
•Самая мощная серийная бензопила в мире
<br/>
•Для профессионального использования в самых суровых условиях и решения самых сложных задач 
<br/>
•Мощный двигатель соответствует экологическим требованиям ЕС5 (двигатель 2-MIX)
<br/>
•Нетеряемые гайки на крышке цепной звездочки
<br/>
•Высокоэффективный и экономичный масляный насос </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/7de3e7da8be04cf2ae591b3a2bb62ecc.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/26d8ba062dd04bd59e33215ade64c0a7.jpg']","Бензопила STIHL MS 881* является самой мощной в мире серийно производимой пилой с рабочим объёмом двигателя 121,6 см3 и мощностью 6,4 кВт. Это единственная пила на рынке в своем классе мощности, отвечающая строгим требованиям стандарта выбросов выхлопных газов Euro-5.",
Артикул,Наименование,Короткое описание,Категория,Цена,Характеристики,Описание,Картинки,Мета описание,Мета ключевые слова
142747489562,Мотопила MSA 120 C-B без аккумулятора и ЗУ,Настоящая мотопила STIHL,Аккумуляторные пилы,20990,"[('Номинальное напряжение В', '36'), ('Время работы с аккумулятором AK 20 мин', 'до 35')]","<p> Невероятно лёгкая аккумуляторная мотопила для ухода за садом и участком, а также распиловки дров. С системой быстрого натяжения цепи STIHL и цепным тормозом QuickStop Super. Пильная цепь 1/4""-PM3 для ровного реза и великолепной производительности. Необычайно тихая мотопила, не требуются средства защиты слуха. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/57164be67b5540fd9f54770732346b2e.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/a8d84d0773bd4381abf2769cfd0b685c.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/70cec2b31004430c857127b26eb72eaa.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/d896b7fc043f4c31905a35009cd4e000.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/7843b694391b45d890e6745cfa26aede.jpg']","Невероятно лёгкая аккумуляторная мотопила для ухода за садом и участком, а также распиловки дров. С системой быстрого натяжения цепи STIHL и цепным тормозом QuickStop Super. Пильная цепь 1/4""-PM3 для ровного реза и великолепной производительности. Необычайно тихая мотопила, не требуются средства защиты слуха.","MSA 120 C, аккумуляторная мотопила"
612332551274,Мотопила MSA 120 C-B с AK 20 и AL 101,Настоящая мотопила STIHL,Аккумуляторные пилы,30990,"[('Номинальное напряжение В', '36'), ('Время работы с аккумулятором AK 20 мин', 'до 35')]","<p> Невероятно лёгкая аккумуляторная мотопила для ухода за садом и участком, а также распиловки дров. С системой быстрого натяжения цепи STIHL и цепным тормозом QuickStop Super. Пильная цепь 1/4""-PM3 для ровного реза и великолепной производительности. Необычайно тихая мотопила, не требуются средства защиты слуха. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/d896b7fc043f4c31905a35009cd4e000.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/7843b694391b45d890e6745cfa26aede.jpg']","Невероятно лёгкая аккумуляторная мотопила для ухода за садом и участком, а также распиловки дров. С системой быстрого натяжения цепи STIHL и цепным тормозом QuickStop Super. Пильная цепь 1/4""-PM3 для ровного реза и великолепной производительности. Необычайно тихая мотопила, не требуются средства защиты слуха.","MSA 120 C, аккумуляторная мотопила, аккумуляторная система, аккумуляторная пила, AKKU COMPACT"
158848070954,Мотопила MSA 140 C-B без аккумулятора и ЗУ,Настоящая мотопила STIHL,Аккумуляторные пилы,23990,"[('Номинальное напряжение В', '36'), ('Время работы с аккумулятором AK 20 мин', 'до 40')]","<p> Лёгкая аккумуляторная пила для ухода за садовым участком и простых ремесленных работ. На 25% более производительная, чем MSA 120 C-B. Рукоятка с мягким покрытием, быстрая и удобная смена цепи благодаря устройству быстрого натяжения цепи STIHL, цепной тормоз QuickStop Super, масляный бак с прозрачной вставкой для контроля топлива, высокая производительность благодаря пильной цепи PM3 1/4"", вес 2,6 кг. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/505d135319c34a2d884e98248d5c4308.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/ebfbc7ad1cab41d19f8bda0057b7434a.jpg']","Лёгкая аккумуляторная пила для ухода за садовым участком и простых ремесленных работ. На 25% более производительная, чем MSA 120 C-B. Рукоятка с мягким покрытием, быстрая и удобная смена цепи благодаря устройству быстрого натяжения цепи STIHL, цепной тормоз QuickStop Super, масляный бак с прозрачной вставкой для контроля топлива, высокая производительность благодаря пильной цепи PM3 1/4"", вес 2,6 кг. ","MSA 140 C-B,  MSA,  Akkusage,  Batteriesage"
551337946371,"Мотопила MSA 140 C-B, с AK 30 и AL 101",Настоящая мотопила STIHL,Аккумуляторные пилы,34990,"[('Номинальное напряжение В', '36'), ('Время работы с аккумулятором AK 20 мин', 'до 40')]","<p> Лёгкая аккумуляторная пила для ухода за садовым участком и простых ремесленных работ. На 25% более производительная, чем MSA 120 C-B. Рукоятка с мягким покрытием, быстрая и удобная смена цепи благодаря устройству быстрого натяжения цепи STIHL, цепной тормоз QuickStop Super, масляный бак с прозрачной вставкой для контроля топлива, высокая производительность благодаря пильной цепи PM3 1/4"", вес 2,6 кг. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/505d135319c34a2d884e98248d5c4308.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/ebfbc7ad1cab41d19f8bda0057b7434a.jpg']","Лёгкая аккумуляторная пила для ухода за садовым участком и простых ремесленных работ. На 25% более производительная, чем MSA 120 C-B. Рукоятка с мягким покрытием, быстрая и удобная смена цепи благодаря устройству быстрого натяжения цепи STIHL, цепной тормоз QuickStop Super, масляный бак с прозрачной вставкой для контроля топлива, высокая производительность благодаря пильной цепи PM3 1/4"", вес 2,6 кг. ",
444366719189,Мотопила MSA 160 C-B без аккумулятора и ЗУ,Инновационная аккумуляторная мотопила,Аккумуляторные пилы,24990,"[('Номинальное напряжение В', '36'), ('Время работы с аккумулятором AP 300 S мин', 'до 62')]","<p> Мобильная пила для использования в зонах с нормированным уровнем шума, заготовки дров и пильных работ в закрытых помещениях. Со специально разработанной пильной цепью PM3 1/4"""" для превосходной производительности реза. Проста в обслуживании. Рекомендуется использовать с аккумулятором AP 160. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/e6d2ada3db1c4bb9ad872d5b01aee25d.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/fb83c7f817cf478eb77ec723d495c37e.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/a57293c315b940ecacd7670d0557b133.jpg']","Этот мобильный инструмент предназначен для работы в зонах с нормированным уровнем шума, заготовки дров и пильных работ в закрытых помещениях. Со специально разработанной пильной цепью 1/4"" PM3 для оптимальной производительности реза. Отличается простотой обслуживания.","MSA 160 C,  аккумуляторная мотопила,  аккумуляторная пила"
200157409644,Мотопила MSA 161 T без аккумулятора и ЗУ,Профессиональная аккумуляторная пила ухода за деревьями,Аккумуляторные пилы,31990,"[('Цепь STIHL Oilomatic', 'Picco Micro 3 (PM3)'), ('Уровень вибрации слева / справа м/с?', '2,5'), ('Номинальное напряжение В', '36'), ('Время работы с аккумулятором AP 300 S мин', 'до 62'), ('Вес кг', '2,1'), ('Уровень звукового давления дБ(A)', '84'), ('Уровень звуковой мощности LW дБ(A)', '94')]","<p> Легкая аккумуляторная пила с высокой производительностью для работ по уходу за деревьями в местах с нормированным уровнем шума. Пильная цепь PM3 1/4 - для чистых пропилов и высокой производительности пиления, оптимизированная концепция управления, ""нетеряемая"" гайка в крышке цепной звездочки, вес 2,1 кг. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/eee1ba68810745a5ad77278232426093.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/874b75d1ee44489e9a44a010fdf0a2da.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/1dd09b2573d1490ca37a9dc09bedbb8d.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/03890842022b46198dea772f1c1c5dfc.jpg']","Легкая аккумуляторная пила с высокой производительностью для работ по уходу за деревьями в местах с нормированным уровнем шума. Пильная цепь PM3 1/4 - для чистых пропилов и высокой производительности пиления, оптимизированная концепция управления, ""нетеряемая"" гайка в крышке цепной звездочки, вес 2,1 кг. ",
698251686727,Мотопила MSA 200 C-B без аккумулятора и зарядки,Мощная аккумуляторная пила,Аккумуляторные пилы,27990,"[('Номинальное напряжение В', '36'), ('Время работы с аккумулятором AP 300 S мин', 'до 50')]","<p> MSA 200 C-B - лучшая модель среди аккумуляторных пил STIHL . Мощный и производительный инструмент класса 36 В превосходно справляется с выполнением отделочных работ, заготовкой дров, а также с любыми задачами на садовом или приусадебном участке и в закрытых помещениях. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/461dfe4da56342c2941ba1ff5417b7ee.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/43db6a26157f42afaff8174865a37ef5.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/039af103408941cd92284695ed269f58.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/267c5481fa1e46fdb1ce485afe48f811.jpg']","MSA 200 C-BQ - лучшая модель среди аккумуляторных пил STIHL . Мощный и производительный инструмент класса 36 В превосходно справляется с выполнением отделочных работ, заготовкой дров, а также с любыми задачами на садовом или приусадебном участке и в закрытых помещениях.","MSA 200 C,  аккумуляторная пила,  акку-пила"
